number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
167,0.8374916930310299,2026-05-31 16:18:46.609724,2026-05-31 16:19:43.725289,0 days 00:00:57.115565,balanced,0.8859132482544988,0.019018440517533913,-1,50,0.000564241017973293,1400,176,1.003499903176643e-07,0.00032218304534333686,0.9424731086611977,0.8769936222015641,0.8374916930310299,0.8220795210572654,0.8535190532812411,0.9504554372727236,COMPLETE
168,0.8353500551541774,2026-05-31 16:19:43.754228,2026-05-31 16:20:39.111993,0 days 00:00:55.357765,balanced,0.8874832467531928,0.019324182345197553,-1,40,0.043688330671949716,1400,176,9.532003934854373e-08,0.00030981471884020687,0.9453425611955832,0.8754481594635733,0.8353500551541774,0.8204344505829831,0.850829511352698,0.9493366807580288,COMPLETE
169,0.8344989460431154,2026-05-31 16:20:39.132600,2026-05-31 16:21:29.965107,0 days 00:00:50.832507,balanced,0.85904602806595,0.016694570264372773,-1,30,0.07290951941564193,1400,160,1.356627437567761e-07,0.0007908249638178464,0.954666180494519,0.8744494043386754,0.8344989460431154,0.8174092981255462,0.8523299926391484,0.9491550285208034,COMPLETE
170,0.8365461060510239,2026-05-31 16:21:29.983330,2026-05-31 16:22:33.632573,0 days 00:01:03.649243,balanced,0.9014605622888862,0.018262762959984562,-1,60,0.002384543577474265,1500,176,4.7347571548668835e-08,0.00036982605077627123,0.941247093045887,0.8763523072109779,0.8365461060510239,0.8216202826965368,0.8520468829624597,0.9500554608924495,COMPLETE
171,0.8219768607900496,2026-05-31 16:22:33.650305,2026-05-31 16:23:00.463877,0 days 00:00:26.813572,balanced,0.9085134010004712,0.018239296603874924,-1,50,0.9140584352073808,1500,176,4.2945513344432104e-08,0.0004409207156675794,0.9414962623097745,0.8637993603768132,0.8219768607900496,0.798679546019593,0.8466961100730424,0.9430414436582523,COMPLETE
172,0.8351823975889384,2026-05-31 16:23:00.485289,2026-05-31 16:23:49.778339,0 days 00:00:49.293050,balanced,0.8996352527948525,0.02183404729340409,-1,60,0.00040001641572498525,1300,160,4.8340560726185236e-08,0.00022523367401571643,0.9832350940947184,0.8749119793663342,0.8351823975889384,0.8177258376867881,0.8534341203782345,0.950097061798969,COMPLETE
173,0.8326545989785217,2026-05-31 16:23:49.801397,2026-05-31 16:24:25.676616,0 days 00:00:35.875219,balanced,0.8929491255625793,0.018688131373934533,-1,40,0.04701251625079234,1100,128,6.810336563846212e-08,0.004282366573865364,0.955682311432685,0.8724308201561898,0.8326545989785217,0.8118000908091796,0.8546231810203273,0.9485304538082712,COMPLETE
174,0.8374063736511026,2026-05-31 16:24:25.696713,2026-05-31 16:25:17.183339,0 days 00:00:51.486626,balanced,0.9129770985637617,0.023377560737810856,-1,50,0.0002611898262325843,1200,192,1.9149813382221486e-08,0.002187441088371576,0.9383106354004688,0.8772669576045219,0.8374063736511026,0.8241853807488013,0.8510843100617178,0.9502767302198413,COMPLETE
175,0.837374665011267,2026-05-31 16:25:17.206869,2026-05-31 16:26:08.560622,0 days 00:00:51.353753,balanced,0.9124868267343651,0.024094036357557344,-1,50,0.0016844705153894425,1200,192,1.7419055136967497e-08,0.0003207515937564955,0.9390451378379256,0.8772669698735808,0.837374665011267,0.8243116056955303,0.8508861332880358,0.9502534743741532,COMPLETE
176,0.838062042031931,2026-05-31 16:26:08.582819,2026-05-31 16:27:13.612777,0 days 00:01:05.029958,balanced,0.9131742563258198,0.023430634658627533,-1,50,0.0006733538328024466,1500,192,1.898275552429876e-08,0.0018782544954633496,0.9339767990665016,0.8782341955063085,0.838062042031931,0.827940150634498,0.8484513900685126,0.9503641434683425,COMPLETE
177,0.8374609131004568,2026-05-31 16:27:13.632271,2026-05-31 16:28:18.253516,0 days 00:01:04.621245,balanced,0.913213602453348,0.023705836378231634,-1,50,0.0025119171603339213,1500,192,1.538195456262916e-08,0.007036369873509574,0.937622187622377,0.87780313604378,0.8374609131004568,0.827460622294612,0.8477153049091218,0.9502149294837663,COMPLETE
178,0.8360133686390414,2026-05-31 16:28:18.278769,2026-05-31 16:29:25.706762,0 days 00:01:07.427993,balanced,0.928808721490599,0.023051835749302033,-1,60,0.012597025125571416,1500,192,1.7437158967405263e-08,0.006629949548096979,0.9378551553362015,0.8765415448461017,0.8360133686390414,0.8249168027968675,0.847432195232433,0.949431158974669,COMPLETE
