number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
583,0.8417766969227056,2026-06-03 13:40:33.511459,2026-06-03 13:41:30.499157,0 days 00:00:56.987698,balanced,0.7768670012470283,0.04043703008646682,16,10,0.00031723784725109984,1900,240,5.911946277254859e-08,9.307714275319896e-08,0.8943871386553384,0.8839429455727398,0.8417766969227056,0.8524783572877839,0.831351565596512,0.9534107495900354,COMPLETE
584,0.8433279721515655,2026-06-03 13:41:30.508833,2026-06-03 13:42:27.713964,0 days 00:00:57.205131,balanced,0.7856356087185578,0.014055213579095211,16,20,0.0359545137733118,1900,248,4.4745882810038616e-08,2.4848831520504647e-08,0.883021504097671,0.8830387998149122,0.8433279721515655,0.8390542949730985,0.8476586829737841,0.9534581453689128,COMPLETE
585,0.8442074387542586,2026-06-03 13:42:27.722663,2026-06-03 13:43:18.715700,0 days 00:00:50.993037,balanced,0.7731855563931026,0.013898371898418917,16,10,0.044522328013555004,1800,240,2.332368002954702e-08,5.0082717426734363e-08,0.8658695137000562,0.8836696078486086,0.8442074387542586,0.8397420749415588,0.8487344997452012,0.953733859024279,COMPLETE
586,0.8441399285999802,2026-06-03 13:43:18.725776,2026-06-03 13:44:13.691168,0 days 00:00:54.965392,balanced,0.7831132507706027,0.015880956277619887,16,10,0.02092941626403198,1900,240,1.478062772427651e-08,1.293865502260153e-07,0.8729607554399381,0.8841216769141661,0.8441399285999802,0.8432995330848727,0.8449974520129099,0.9539067282149865,COMPLETE
587,0.8437496510096946,2026-06-03 13:44:13.700078,2026-06-03 13:45:09.283444,0 days 00:00:55.583366,balanced,0.820173227304148,0.017183800649555585,16,10,0.0213220966102689,1900,248,8.584371698786205e-08,7.823578805209897e-08,0.8917030590165179,0.8840165423524154,0.8437496510096946,0.8442397820153561,0.8432704829851083,0.9538378878527302,COMPLETE
588,0.8405951587275666,2026-06-03 13:45:09.292653,2026-06-03 13:46:04.101456,0 days 00:00:54.808803,,0.7936626030764766,0.015146102328312741,16,20,0.0003689081706884413,1900,232,3.253862402205292e-08,1.7125279507718178e-07,0.9017463724717135,0.8850573680807808,0.8405951587275666,0.8666346142358163,0.8160919540229884,0.9536657418107786,COMPLETE
589,0.8390259094658846,2026-06-03 13:46:04.111221,2026-06-03 13:46:38.315469,0 days 00:00:34.204248,balanced,0.8037307235052259,0.013836326040999034,16,10,0.5353410455032389,1900,240,5.0438287397429494e-08,1.035508443205894e-07,0.8854672248804827,0.8782867684243191,0.8390259094658846,0.8244474533404219,0.8541418945699565,0.9516264007841816,COMPLETE
590,0.8431087110923893,2026-06-03 13:46:38.324424,2026-06-03 13:47:33.051056,0 days 00:00:54.726632,balanced,0.7715075395364737,0.01628724326386657,16,20,0.04579862759969393,1800,256,2.4303942779449825e-08,6.601379391385616e-08,0.8966152582495935,0.883196513263405,0.8431087110923893,0.8411240376763173,0.8451106958835853,0.9533628347725477,COMPLETE
591,0.8381527244621673,2026-06-03 13:47:33.060132,2026-06-03 13:48:26.943300,0 days 00:00:53.883168,balanced,0.7881873153678984,0.015485315384214673,16,80,0.23935547850423816,1900,248,8.782639804121892e-08,3.2753285954246404e-08,0.8772968651547475,0.8780239303619616,0.8381527244621673,0.8261756451782502,0.8504897797406716,0.9507441158033455,COMPLETE
592,0.8442074565342729,2026-06-03 13:48:26.953372,2026-06-03 13:49:21.086646,0 days 00:00:54.133274,balanced,0.7773246383180644,0.017824791696313257,16,10,0.02919396573967062,1900,240,1.671801888969291e-08,2.2307439603744892e-07,0.8884735493772579,0.8844370802678219,0.8442074565342729,0.8453052864182237,0.843128928146764,0.9539227483161907,COMPLETE
